file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/mnt/d/Dev/Exercicios/ExperimentacaoSoftware/lab2-experimentacao-software/katas/kata03/referencia/CompraAcoes.java,CompraAcoes,moeda/1[java.math.BigDecimal],false,106,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10,0,false
/mnt/d/Dev/Exercicios/ExperimentacaoSoftware/lab2-experimentacao-software/katas/kata03/referencia/CompraAcoes.java,CompraAcoes,consolidar/1[java.util.List<java.lang.String>],false,25,2,4,0,4,11,13,41,1,11,1,13,3,1,3,4,0,0,10,14,13,1,3,0,0,1,25,9,0,false
/mnt/d/Dev/Exercicios/ExperimentacaoSoftware/lab2-experimentacao-software/katas/kata03/referencia/CompraAcoes.java,CompraAcoes,corretagem/1[java.math.BigDecimal],false,96,0,1,1,0,3,3,9,3,0,1,3,0,0,0,0,0,0,5,3,0,0,1,0,0,0,4,10,0,false
/mnt/d/Dev/Exercicios/ExperimentacaoSoftware/lab2-experimentacao-software/katas/kata03/referencia/CompraAcoes.java,CompraAcoes,"parseTotal/3[java.lang.String,java.lang.String,java.lang.String]",false,76,0,1,1,0,7,5,20,5,2,3,5,0,0,0,1,1,0,2,4,2,1,1,0,0,0,20,10,0,true
/mnt/d/Dev/Exercicios/ExperimentacaoSoftware/lab2-experimentacao-software/katas/kata03/referencia/CompraAcoes.java,CompraAcoes$Ordem,Ordem/1[java.math.BigDecimal],true,20,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
