file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\katas\kata02\referencia\Estacionamento.java,Estacionamento,parse/1[java.lang.String],false,54,0,1,1,0,3,1,11,3,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,9,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\katas\kata02\referencia\Estacionamento.java,Estacionamento,valorPorHoras/1[long],false,66,0,1,1,0,1,3,4,1,1,1,3,0,0,0,0,0,1,0,3,1,3,0,0,0,0,14,10,0,true
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\katas\kata02\referencia\Estacionamento.java,Estacionamento,"permanenciaNoturna/3[java.time.LocalDateTime,java.time.LocalDateTime,long]",false,77,0,1,1,0,4,4,6,1,3,3,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,25,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\katas\kata02\referencia\Estacionamento.java,Estacionamento,"cobrar/3[java.lang.String,java.lang.String,boolean]",false,29,1,4,0,4,7,11,19,4,4,3,11,4,1,0,2,0,0,3,1,5,0,1,0,0,0,34,9,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\katas\kata02\referencia\Estacionamento.java,Estacionamento,teto/1[long],false,72,0,1,1,0,1,2,4,1,1,1,2,0,0,0,0,0,1,0,1,1,3,0,0,0,0,22,10,0,true
