file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata04-SEM_IA\src\ContaEnergia.java,ContaEnergia,"aplicarDesconto/2[java.math.BigDecimal,java.math.BigDecimal]",false,69,0,1,1,0,2,2,6,2,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,21,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata04-SEM_IA\src\ContaEnergia.java,ContaEnergia,"calcular/2[java.lang.String,java.lang.String]",false,27,1,2,0,2,5,10,15,3,5,2,10,2,1,0,2,0,0,2,1,6,0,1,0,0,0,15,9,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata04-SEM_IA\src\ContaEnergia.java,ContaEnergia,calcularEnergia/1[java.math.BigDecimal],false,48,0,1,1,0,3,4,18,1,3,1,4,0,0,0,0,0,0,0,2,9,0,1,0,0,0,22,10,0,false
