trial_id,n_arquivos,n_classes,loc_total,n_metodos,cc_total,cc_media_por_metodo,duplicacoes_cpd,linhas_duplicadas_cpd,pct_duplicacao_cpd,min_tokens_cpd,collected_at
kata01-ref,1,2,93,5,20,4,0,0,0,50,2026-09-10T22:50:35-03:00
kata01-ref,1,2,93,5,21,4.2,0,0,0,50,2026-09-17T17:08:31-03:00
