tratamento,n,mediana,q1,q3,iqr,minimo,maximo
COM_IA,4,0.22845,0.197325,0.2534,0.056075000000000014,0.1746,0.2576
SEM_IA,4,0.24725000000000003,0.23195000000000002,0.280275,0.04832499999999998,0.2,0.3654
