tratamento,n,mediana,q1,q3,iqr,minimo,maximo
COM_IA,4,3.6375,3.2375,4.46875,1.2312500000000002,2.75,6.25
SEM_IA,4,7.3335,3.5835,13.0,9.4165,3.333,19.0
