file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata01-COM_IA\src\FechamentoCaixa.java,FechamentoCaixa$Venda,"Venda/2[java.math.BigDecimal,java.lang.String]",true,137,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata01-COM_IA\src\FechamentoCaixa.java,FechamentoCaixa,fechar/1[java.util.List<java.lang.String>],false,14,2,3,0,3,20,20,90,1,22,1,20,2,1,3,2,0,0,9,17,24,0,3,0,0,0,27,9,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata01-COM_IA\src\FechamentoCaixa.java,FechamentoCaixa,fmt/1[java.math.BigDecimal],false,118,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata01-COM_IA\src\FechamentoCaixa.java,FechamentoCaixa,taxaPara/1[java.lang.String],false,122,0,1,1,0,3,0,10,3,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,5,10,0,false
