trial_id,n_arquivos,n_classes,loc_total,n_metodos,cc_total,cc_media_por_metodo,duplicacoes_cpd,linhas_duplicadas_cpd,pct_duplicacao_cpd,min_tokens_cpd,collected_at
guilherme-kata02-COM_IA,1,1,63,4,3,0.75,0,0,0,50,2026-09-17T15:09:58-03:00
guilherme-kata02-COM_IA,1,1,63,4,11,2.75,0,0,0,50,2026-09-17T17:08:41-03:00
