file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/mnt/d/Dev/Exercicios/ExperimentacaoSoftware/lab2-experimentacao-software/katas/kata01/referencia/FechamentoCaixa.java,FechamentoCaixa$Venda,"Venda/2[java.math.BigDecimal,java.lang.String]",true,26,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,false
/mnt/d/Dev/Exercicios/ExperimentacaoSoftware/lab2-experimentacao-software/katas/kata01/referencia/FechamentoCaixa.java,FechamentoCaixa,taxa/1[FechamentoCaixa.Venda],false,106,1,1,1,0,3,2,15,1,1,1,2,0,0,0,0,0,0,4,1,3,0,1,0,0,0,6,10,0,false
/mnt/d/Dev/Exercicios/ExperimentacaoSoftware/lab2-experimentacao-software/katas/kata01/referencia/FechamentoCaixa.java,FechamentoCaixa,moeda/1[java.math.BigDecimal],false,122,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10,0,false
/mnt/d/Dev/Exercicios/ExperimentacaoSoftware/lab2-experimentacao-software/katas/kata01/referencia/FechamentoCaixa.java,FechamentoCaixa,fechar/1[java.util.List<java.lang.String>],false,32,2,4,0,4,14,19,50,1,15,1,19,3,1,3,4,0,0,10,12,17,1,3,0,0,0,31,9,0,false
/mnt/d/Dev/Exercicios/ExperimentacaoSoftware/lab2-experimentacao-software/katas/kata01/referencia/FechamentoCaixa.java,FechamentoCaixa,parseValor/1[java.lang.String],false,99,0,1,1,0,2,1,6,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13,10,0,true
