file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata04-COM_IA\src\ContaEnergia.java,ContaEnergia,calcularEnergia/1[java.math.BigDecimal],false,40,1,2,1,1,3,5,17,1,5,1,5,1,1,0,0,0,0,0,2,10,0,1,0,0,0,28,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata04-COM_IA\src\ContaEnergia.java,ContaEnergia,sobretaxaBandeira/1[java.lang.String],false,66,0,1,1,0,6,0,17,6,0,1,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,6,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata04-COM_IA\src\ContaEnergia.java,ContaEnergia,"min/2[java.math.BigDecimal,java.math.BigDecimal]",false,62,0,1,1,0,2,1,3,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata04-COM_IA\src\ContaEnergia.java,ContaEnergia,arredondar/1[java.math.BigDecimal],false,84,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata04-COM_IA\src\ContaEnergia.java,ContaEnergia,"calcular/2[java.lang.String,java.lang.String]",false,16,1,3,0,3,5,8,17,3,5,2,8,3,2,0,2,0,0,3,1,6,0,1,0,0,0,28,9,0,false
