trial_id,n_arquivos,n_classes,loc_total,n_metodos,cc_total,cc_media_por_metodo,duplicacoes_cpd,linhas_duplicadas_cpd,pct_duplicacao_cpd,min_tokens_cpd,collected_at
kata04-ref,1,1,60,4,15,3.75,0,0,0,50,2026-09-10T22:50:44-03:00
kata04-ref,1,1,60,4,16,4,0,0,0,50,2026-09-17T17:08:37-03:00
