file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\katas\kata04\referencia\ContaEnergia.java,ContaEnergia,"calcular/2[java.lang.String,java.lang.String]",false,25,1,3,0,3,4,8,13,2,4,2,8,3,1,0,2,0,0,1,1,5,0,1,0,0,0,32,9,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\katas\kata04\referencia\ContaEnergia.java,ContaEnergia,parseConsumo/1[java.lang.String],false,44,0,1,1,0,3,2,6,2,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,12,10,0,true
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\katas\kata04\referencia\ContaEnergia.java,ContaEnergia,sobretaxaDaBandeira/1[java.lang.String],false,52,0,1,1,0,6,0,17,6,0,1,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,25,10,0,true
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\katas\kata04\referencia\ContaEnergia.java,ContaEnergia,valorPorFaixas/1[long],false,71,0,1,1,0,3,3,12,1,1,1,3,0,0,0,0,0,0,0,0,5,2,1,0,0,0,24,10,0,true
