file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata03-COM_IA\src\CompraAcoes.java,CompraAcoes,formatar/1[java.math.BigDecimal],false,148,1,2,1,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata03-COM_IA\src\CompraAcoes.java,CompraAcoes,consolidar/1[java.util.List<java.lang.String>],false,26,2,7,0,7,13,18,56,1,18,1,18,6,3,2,5,0,0,9,11,21,1,3,0,0,1,36,9,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata03-COM_IA\src\CompraAcoes.java,CompraAcoes,parsePreco/1[java.lang.String],false,123,0,1,1,0,4,2,10,3,1,1,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,7,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata03-COM_IA\src\CompraAcoes.java,CompraAcoes,calcularCorretagem/1[java.math.BigDecimal],false,134,1,2,1,1,3,3,9,3,0,1,3,1,1,0,0,0,0,0,2,0,0,1,0,0,0,25,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata03-COM_IA\src\CompraAcoes.java,CompraAcoes,parseQuantidade/1[java.lang.String],false,107,0,1,1,0,6,2,16,4,1,1,2,0,0,0,2,1,0,1,3,1,1,1,0,0,0,10,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata03-COM_IA\src\CompraAcoes.java,CompraAcoes,ticketValido/1[java.lang.String],false,103,0,1,1,0,2,1,3,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata03-COM_IA\src\CompraAcoes.java,CompraAcoes,arredondar/1[java.math.BigDecimal],false,144,0,3,3,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\gabriel-kata03-COM_IA\src\CompraAcoes.java,CompraAcoes$Compra,"Compra/2[java.math.BigDecimal,java.math.BigDecimal]",true,20,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,false
