file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata02-COM_IA\src\Estacionamento.java,Estacionamento,calcularTeto/1[long],false,71,0,1,1,0,1,2,4,1,1,1,2,0,0,0,0,0,1,0,1,1,3,0,0,0,0,18,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata02-COM_IA\src\Estacionamento.java,Estacionamento,"cobrar/3[java.lang.String,java.lang.String,boolean]",false,27,1,3,0,3,7,12,31,5,6,3,12,3,1,0,0,1,0,4,2,8,0,1,0,0,0,39,9,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata02-COM_IA\src\Estacionamento.java,Estacionamento,"ehNoturna/3[java.time.LocalDateTime,java.time.LocalDateTime,long]",false,76,0,1,1,0,2,3,10,2,4,3,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,25,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata02-COM_IA\src\Estacionamento.java,Estacionamento,calcularValorBase/1[long],false,65,0,1,1,0,1,4,5,1,2,1,4,0,0,0,0,0,1,0,3,2,4,0,0,0,0,21,10,0,false
