trial_id,n_arquivos,n_classes,loc_total,n_metodos,cc_total,cc_media_por_metodo,duplicacoes_cpd,linhas_duplicadas_cpd,pct_duplicacao_cpd,min_tokens_cpd,collected_at
kata03-ref,1,2,87,5,17,3.4,0,0,0,50,2026-09-10T22:50:41-03:00
kata03-ref,1,2,87,5,23,4.6,0,0,0,50,2026-09-17T17:08:35-03:00
