file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata03-SEM_IA\src\CompraAcoes.java,CompraAcoes,"gerarResumo/3[java.util.List<CompraAcoes.Compra>,int,int]",false,110,1,1,1,0,2,4,11,1,4,3,4,0,0,1,0,0,0,1,2,6,0,1,0,0,0,17,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata03-SEM_IA\src\CompraAcoes.java,CompraAcoes,consolidar/1[java.util.List<java.lang.String>],false,32,2,3,0,3,7,7,32,1,7,1,7,3,3,1,1,0,0,3,5,8,0,3,0,0,0,16,9,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata03-SEM_IA\src\CompraAcoes.java,CompraAcoes,isTicketValido/1[java.lang.String],false,127,0,2,2,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata03-SEM_IA\src\CompraAcoes.java,CompraAcoes,"processarCompra/2[java.lang.String[],java.util.List<CompraAcoes.Compra>]",false,66,2,6,1,5,6,10,18,4,7,2,10,4,1,0,1,0,0,0,6,7,0,1,0,0,0,24,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata03-SEM_IA\src\CompraAcoes.java,CompraAcoes,isPrecoValido/1[java.lang.String],false,140,0,1,1,0,3,2,10,3,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata03-SEM_IA\src\CompraAcoes.java,CompraAcoes,"processarCancelamento/2[java.lang.String[],java.util.List<CompraAcoes.Compra>]",false,91,2,2,1,1,6,6,14,3,3,2,6,1,1,1,2,0,0,0,7,3,0,2,0,0,0,11,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata03-SEM_IA\src\CompraAcoes.java,CompraAcoes,isQuantidadeValida/1[java.lang.String],false,131,0,1,1,0,4,1,9,2,1,1,1,0,0,0,1,1,0,0,3,1,1,1,0,0,0,10,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata03-SEM_IA\src\CompraAcoes.java,CompraAcoes,calcularCorretagem/1[java.math.BigDecimal],false,150,0,1,1,0,3,3,5,3,0,1,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,26,10,0,false
C:\Users\Administrator\Downloads\Lab2_Medição\lab2-experimentacao-software\data\trials\guilherme-kata03-SEM_IA\src\CompraAcoes.java,CompraAcoes$Compra,"Compra/3[java.lang.String,java.math.BigDecimal,java.math.BigDecimal]",true,25,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,false
