trial_id,sujeito,kata_id,tratamento,ordem,inicio_iso,fim_iso,tempo_segundos,censurado,tempo_primeiro_verde_s,testes_total,testes_passando,taxa_sucesso,n_prompts,commit_final,collected_at
guilherme-kata01-COM_IA,guilherme,kata01,COM_IA,1,,,90,false,,12,12,100.00,1,a9649f5,2026-09-17T10:14:33-03:00
guilherme-kata02-COM_IA,guilherme,kata02,COM_IA,2,,,192,false,,14,14,100.00,2,1129ccb,2026-09-17T10:23:20-03:00
guilherme-kata03-SEM_IA,guilherme,kata03,SEM_IA,3,,,2100,true,,15,,,0,e85fda6,2026-09-17T11:27:32-03:00
guilherme-kata04-SEM_IA,guilherme,kata04,SEM_IA,4,,,1205,false,,16,16,100.00,0,76860aa,2026-09-17T11:59:47-03:00
gabriel-kata01-SEM_IA,gabriel,kata01,SEM_IA,1,2026-09-17T15:53:44-03:00,2026-09-17T16:25:18-03:00,1894,false,1423,12,12,100.00,0,,2026-09-17T16:25:18-03:00
gabriel-kata02-SEM_IA,gabriel,kata02,SEM_IA,2,2026-09-17T16:27:39-03:00,2026-09-17T17:06:45-03:00,2100,true,1769,14,13,92.86,0,,2026-09-17T17:06:45-03:00
gabriel-kata03-COM_IA,gabriel,kata03,COM_IA,3,2026-09-17T17:12:04-03:00,2026-09-17T17:14:47-03:00,163,false,150,15,15,100.00,1,,2026-09-17T17:14:47-03:00
gabriel-kata04-COM_IA,gabriel,kata04,COM_IA,4,2026-09-17T17:16:20-03:00,2026-09-17T17:17:17-03:00,57,false,54,16,16,100.00,1,,2026-09-17T17:17:17-03:00
